system,query_type,ndcg_at_10,mrr_at_10,precision_at_10,hit_rate_at_10,strict_mrr_at_10_rel2,strict_precision_at_10_rel2
bm25,attribute,0.44405815373493607,0.7416666666666667,0.44000000000000006,0.95,0.6263888888888889,0.29
bm25,entity_lexical,0.47086827813295995,0.7211111111111111,0.4,1.0,0.5102777777777778,0.30500000000000005
bm25,semantic_recommendation,0.44056595999142295,0.8013888888888889,0.545,1.0,0.5272222222222223,0.365
minilm_dense,attribute,0.6322434596140089,0.915,0.65,1.0,0.7108333333333333,0.475
minilm_dense,entity_lexical,0.6564552303581448,0.8583333333333334,0.48,1.0,0.75,0.39
minilm_dense,semantic_recommendation,0.6459170030122902,0.925,0.78,1.0,0.6804761904761905,0.53
