system,ndcg_at_10,mrr_at_10,precision_at_10,hit_rate_at_10,strict_mrr_at_10_rel2,strict_precision_at_10_rel2
bm25,0.44428283874360636,0.7547222222222222,0.46166666666666667,0.9833333333333333,0.5546296296296297,0.32
minilm_dense,0.6365463527104616,0.8994444444444445,0.6366666666666667,1.0,0.7137698412698412,0.46499999999999997
qwen3_embedding_0.6b,0.6605620918017189,0.9102777777777777,0.64,0.9833333333333333,0.8054166666666667,0.4683333333333334
bge_reranker_v2_m3,0.7103330589999242,0.9409722222222222,0.67,1.0,0.8193055555555555,0.5116666666666666
