comparison,baseline,system,metric,queries,baseline_mean,system_mean,absolute_difference,relative_improvement,ci_level,difference_ci_lower,difference_ci_upper,relative_ci_lower,relative_ci_upper,bootstrap_probability_positive,randomization_p_value,wins,ties,losses,ci_interpretation
qwen3_bge_vs_minilm,MiniLM dense,Qwen3 Top25 + BGE reranker,ndcg_at_10,60,0.6365463527104616,0.734650798657898,0.09810444594743639,0.15411987757011,0.95,0.054446570960280424,0.1437052224230157,0.08059969389009682,0.2427840250063913,1.0,4.999950000499995e-05,39,8,13,positive
qwen3_bge_vs_minilm,MiniLM dense,Qwen3 Top25 + BGE reranker,mrr_at_10,60,0.8994444444444445,0.9461111111111112,0.046666666666666745,0.051883878937615896,0.95,-0.001388888888888995,0.09917361111111107,-0.0015031513526108523,0.1164122137404579,0.9694,0.08648913510864892,7,52,1,includes_zero
qwen3_bge_vs_minilm,MiniLM dense,Qwen3 Top25 + BGE reranker,precision_at_10,60,0.6366666666666666,0.6966666666666669,0.060000000000000275,0.09424083769633552,0.95,0.016666666666666607,0.10499999999999998,0.024629028939373538,0.1763005780346821,0.9958,0.013609863901360986,24,21,15,positive
triple_bge_vs_qwen3_bge,Qwen3 Top25 + BGE reranker,BM25 + MiniLM + Qwen3 + BGE reranker,ndcg_at_10,60,0.734650798657898,0.73830522612939,0.0036544274714920277,0.00497437350938452,0.95,-0.019839126743331353,0.030898416201859107,-0.02653083856949808,0.043512264918556864,0.599,0.7908320916790832,13,27,20,includes_zero
triple_bge_vs_qwen3_bge,Qwen3 Top25 + BGE reranker,BM25 + MiniLM + Qwen3 + BGE reranker,mrr_at_10,60,0.9461111111111112,0.9472222222222223,0.0011111111111110628,0.0011743981209629553,0.95,-0.03749999999999998,0.04556944444444425,-0.03880844337390851,0.05048367593712217,0.5007,1.0,2,53,5,includes_zero
triple_bge_vs_qwen3_bge,Qwen3 Top25 + BGE reranker,BM25 + MiniLM + Qwen3 + BGE reranker,precision_at_10,60,0.6966666666666669,0.6933333333333332,-0.0033333333333336324,-0.004784688995215738,0.95,-0.020041666666666527,0.01333333333333342,-0.029411764705882377,0.020356378018030422,0.339,0.7840421595784042,11,38,11,includes_zero
