configuration,ndcg_at_10,mrr_at_10,precision_at_10,strict_mrr_at_10_rel2,strict_precision_at_10_rel2
minilm,0.7134920582409217,0.9232142857142858,0.6766666666666666,0.8250661375661376,0.5233333333333333
qwen3,0.7346507986578978,0.9461111111111111,0.6966666666666667,0.85,0.5533333333333333
bm25_minilm,0.7103330589999242,0.9409722222222222,0.67,0.8193055555555555,0.5116666666666666
minilm_qwen3,0.7374997714560937,0.9361111111111111,0.6983333333333334,0.8444444444444444,0.5566666666666666
bm25_minilm_qwen3,0.73830522612939,0.9472222222222223,0.6933333333333334,0.8430555555555556,0.5483333333333333
