depth,ndcg_at_10,mrr_at_10,precision_at_10,strict_mrr_at_10_rel2,strict_precision_at_10_rel2,ndcg_retention_vs_25,ndcg_delta_vs_25
10,0.6636119602450468,0.9066666666666666,0.64,0.7991666666666667,0.4683333333333334,0.903302577847014,-0.07103883841285108
15,0.7108087318600932,0.9334920634920635,0.6799999999999999,0.8283333333333334,0.5183333333333333,0.9675463950473331,-0.02384206679780465
20,0.7187987216897666,0.9403439153439153,0.6799999999999999,0.844047619047619,0.5283333333333333,0.9784222966924003,-0.01585207696813129
25,0.7346507986578978,0.9461111111111111,0.6966666666666667,0.85,0.5533333333333333,1.0,0.0
