depth,ndcg_at_10,mrr_at_10,precision_at_10,strict_mrr_at_10_rel2,strict_precision_at_10_rel2,ndcg_retention_vs_25,ndcg_delta_vs_25,reranker_mean_ms,reranker_median_ms,reranker_p95_ms,pipeline_mean_ms,pipeline_median_ms,pipeline_p95_ms,pipeline_p99_ms,estimated_serial_qps,mean_latency_reduction_vs_25
10,0.6636119602450468,0.9066666666666666,0.64,0.7991666666666667,0.4683333333333334,0.903302577847014,-0.07103883841285108,1379.4422605566474,1152.9816000256687,4156.3815301167715,1453.7143622331012,1226.654049823992,4250.271685165348,5380.513139965478,0.6878930455525426,0.5352263371558577
15,0.7108087318600932,0.9334920634920635,0.6799999999999999,0.8283333333333334,0.5183333333333333,0.9675463950473331,-0.02384206679780465,2247.5851444449895,1819.2091999808326,6705.850004940293,2321.8572461214435,1895.5465499311686,6776.295244914944,8308.052272035275,0.4306896996662712,0.25766840796470136
20,0.7187987216897666,0.9403439153439153,0.6799999999999999,0.844047619047619,0.5283333333333333,0.9784222966924003,-0.01585207696813129,2754.2342572175485,2289.025849895552,7422.387995128519,2828.506358894002,2362.792799831368,7498.0434151832005,9081.353317108005,0.3535434866022427,0.09568530451767188
25,0.7346507986578978,0.9461111111111111,0.6966666666666667,0.85,0.5533333333333333,1.0,0.0,3053.517784990577,2589.6957999793813,7763.166355062275,3127.789886667031,2656.344599905424,7838.704320124815,9210.323958047667,0.3197145704264677,0.0
